user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x43139414,RealSkipBayless,2018-11-08T16:29:11Z,x1060569935724724224,176,35,"LeBron, you have to initiate the offense and just close the deal. These are the Timberwolves. This is not Golden State. This is not Houston. More @Undisputed, now on FS1 https://t.co/78sy5jgYU9",0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T16:14:28Z,x1060566231026036739,141,11,Was Steve Kerr out of bounds suggesting Zion is the next LeBron? Next on @undisputed,0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T15:42:28Z,x1060558177236803584,59,5,Good news and really bad news for Tim Tebow. Next on @undisputed,0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T14:56:54Z,x1060546708906532864,266,30,It just makes me sick what Jason Kelce of the Eagles said about the Cowboys and their fans. Next on @undisputed,0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T14:25:37Z,x1060538838408261632,80,14,Loaded with hot topics today: Jason Kelce blasts the Cowboys and their fans. Will Dez come back to haunt the Cowboys? Will Tebow soon be a Met? Should Brady be MVP? Is Zion the next LeBron. @undisputed. 9:30 AM-Noon ET. FS1,0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T14:22:42Z,x1060538102861590529,161,18,"Will LeShannon Sharpe tell the truth about LeBron's game last night? If he won't, I will. @undisputed. 9:30 AM ET. FS1",0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T20:49:43Z,x1061722663024881665,709,135,Shannon Sharpe says Belichick deserves 75% of the credit for the NE dynasty. Yet his defenses keep getting torched. Last yr's SBowl. At Jax. At Det. KC at home. And now 34 points to Tenn with 7 mins left.,221,0.261848341,3.819004525,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T19:31:56Z,x1061703088027840513,508,103,The defense coached by the genius Belichick has allowed 24 points in the 1st half at Tenn. At least the Cowboys allowed only 28 total. Brady has by far the highest degree of difficulty of any MVP candidate.,134,0.219312602,4.559701493,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T20:40:05Z,x1061720240608821248,272,41,"Even scarier for Brady, Julian Edelman just doesn't have uncoverable burst he had before his knee injury.",63,0.201277955,4.968253968,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T19:38:04Z,x1061704630495670272,680,123,It will be virtually impossible for even Tom Brady to bring NE back from 24-10 down vs the defense that has allowed the NFL's fewest points this season - Tennessee's.,160,0.199252802,5.01875,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T20:38:24Z,x1061719817181265921,441,65,Brady caught THAT pass from Edelman but couldn't keep his balance after he turned to run. Still got 6 1/2 yards. He's only 41 years old.,100,0.197628458,5.06,2018-11-12T16:44:00Z
